"estacion","nombre","latitud","longitud"
"ALPUJARRAS","Alpujarras, Chis. INIFAP*",15.074722,-92.169167
"ALPUYEQUE","Alpuyeque, Col. INIFAP*",19.154722,-103.733333
"ALRBN","Abelardo L. Rodríguez, B.C.",32.444722,-116.908333
"ALTAMIRA","Altamira, Tamps. SGT*",22.387778,-97.933333
"ALTAMIRANO","Altamirano, Chis. SGT*",16.737778,-92.034722
"ALTAMIRANOCFE","Ciudad Altamirano, Gro. CFE*",18.361944,-100.663611
"ALTAMIRAob","Observatorio de Altamira, Tamps. SMN*",22.3875,-97.925556
"ALTARob","Observatorio de Altar, Son. SMN*",30.714444,-111.834444
"ALTAVISTA","Altavista, N.L. INIFAP*",24.756944,-99.649722
"ALTCP","Altamirano, Chis.",16.733333,-92.038889
"ALTMX","Atlacomulco, Méx.",19.783333,-99.866667
"ALTOVENTURA","Alto de Ventura, Gro. INIFAP*",16.69,-99.246111
"ALTSO","Observatorio de Altar, Son.",30.716667,-111.733333
"ALTVC","Altotonga, Ver.",19.7625,-97.234722
"ALTZOMONI","Altzomoni, Méx. SMN*",19.118611,-98.655278
"ALUMR","Alpuyeca, Mor.",18.734722,-99.258056
"ALUVC","Alto Lucero, Ver.",19.621667,-96.736111
"ALVARADO","Alvarado, Ver. SMN*",18.716111,-95.632778
"ALVARADO2ob","Alvarado 2, Ver. SMN*",18.789167,-95.758056
"ALVAROOBREGON","Álvaro Obregón, Gto. SGT*",21.193056,-100.977778
"ALVCA","L. Alvarado, Camp.",18.016667,-89.270278
"ALVCL","Arroyo Las Vacas, Coah. CILA*",0,0
"ALVVC","Alvarado, Ver. SMN*",18.716111,-95.632778
"ALVVC2","Alvarado, Ver. SMN*",18.716111,-95.632778
"ALZATE","Alzate, Méx. SGT*",19.483333,-99.65
"AM2DR","Agustín Melgar, Dgo. SMN*",25.263333,-104.066111
"AMACONITE2ASEC","Amacohite 2a Sección, Tab. Protección Civil*",17.546667,-93.488333
"AMACUZAC","Amacuzac, Mor. INIFAP*",18.585556,-99.34
"AMALIAS","Amalias, Gto. SAPAL*",21.099167,-101.73
"AMANALCO","Amanalco, Méx. OCAVM*",19.305833,-99.998889
"AMAPA","Amapa, Nay. INIFAP*",21.811944,-105.232222
"AMASI","Amata, Sin.",24.510556,-106.924444
"AMATAN","Amatán, Tab. SGT*",17.46,-92.78
"AMATITLAN","Amatitlán, Ver. INIFAP*",18.485556,-95.7125
"AMATL","Amaxac, Tlax.",19.3,-98.1
"AMC","Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",19.240833,-99.174167
"AMCGJ","Ameche, Gto.",20.553889,-100.5825
"AMCMR","Amacuzac, Mor.",18.596111,-99.376944
"AMEALCO","Amealco, Qro. SGT*",19.518333,-98.143056
"AMEALCODF","Amealco, Cd. de Méx. SACMEX*",19.518333,-98.143056
"AMECA","Ameca, Jal. INIFAP*",20.521111,-103.956944
"AMECAIF","Ameca 3, Jal. INIFAP*",20.478056,-103.981944
"AMECAMECA","Amecameca, Méx. OCAVM*",19.140556,-98.805556
"AMEMC","Aristeo Mercado, Mich.",19.926111,-101.661111
"AMEMX","Atlacomulco, Méx.",19.75,-99.783333
"AMEPB","Ameluca, Pue.",20.563889,-97.828611
"AMFGR","Ambrosio Figueroa, Gro.",17.116944,-99.564444
"AMICL","La Amistad, Coah.",29.45,-101.06
"AMIGJ","Ameche Pequeña Irrigación Río Querétaro, Gto.",0,0
"AMIMR","Amilcingo, Mor.",18.755278,-98.771111
"AMIQT","Ameche Pequeña Irrigación Río Querétaro, Qro.",0,0
"AMLDR","Agustín Melgar, Dgo.",25.264167,-104.068056
"AMLQT","Amealco, Qro.",20.184722,-100.145556
"AMOZC","Amoxochitl, Zac.",21.404444,-103.068333
"AMSCL","Internacional La Amistad, Coah.",29.446944,-101.057222
"AMTOX","San Antonino Monte Verde, Oax.",17.533611,-97.720556
"AMZQT","Amazcala, Qro. SGT*",20.704167,-100.269444
"AN1MC","Angamacutiro canal derecho uno del DR087, Mich.",0,0
"AN2MC","Angamacutiro canal izquierdo uno del DR087, Mich.",0,0
"ANAgp","Santa Ana Pacueco, Gto. INIFAP*",20.386944,-101.923889
"ANAHUACNL","Anahuác, N.L. INIFAP*",27.25,-100.116944
"ANAHUACTP","Anahuác, Tamps. INIFAP*",25.750278,-97.795
"ANCMX","El Ancon, Méx.",18.861389,-100.1
"ANDMC","Angamacutiro margen derecha, Mich.",20.128333,-101.721944
"ANDRESQROO","Andrés Quintana Roo, Tab. Protección Civil*",17.715833,-93.046667
"ANGAMACUTIRO","Angamacutiro, Mich.",20.125556,-101.722778
"ANGCP","Doctor Belisario Domínguez, Chis.",16.401389,-92.778889
"ANGMC","Angamacutiro, Mich. SMN*",20.125556,-101.722778
"ANGOSTURA","Angostura, Sin. INIFAP*",25.3125,-108.213333
"ANGOSTURACFE","Angostura, Chis. CFE*",16.400833,-92.777778
"ANGQT","Los Ángeles, Qro.",20.698611,-100.508611
"ANHNL","Anáhuac, N.L.",27.24,-100.134444
"ANIAG","Cincuenta Aniversario, Ags.",22.188889,-102.465278
"ANIMC","Angulo pequeña irrigación, Mich.",0,0
"ANJGJ","Ángel Juárez, Gto.",20.175833,-100.464722
"ANPZC","San Antonio de Padua, Zac.",22.576944,-103.816667
"ANRNR","Amado Nervo, Nay.",21.733333,-105.033333
"ANSGJ","Arandas, Gto.",20.712778,-101.370833
"ANTJL","San Antonio, Jal.",21.511111,-102.596944
"ANTONIOgp","San Antonio, Gto. INIFAP*",20.299444,-100.571111
"ANTONmar","Anton Lizardo, Ver. SEMAR*",25.821944,-97.153333
"ANTOX","El Antisco, Oax.",16.893611,-96.636667
"ANVAG","Cincuenta Aniversario, Ags.",22.188611,-102.464167
"ANZALDUAS","Anzalduas, Tamps. SGT*",26.131389,-98.336389
"AnzalduasUSC","Rio Grande abajo Presa Anzalduas datos US, CILA*",0,0
"ANZDF","Anzaldo, Cd. de Méx.",19.320833,-99.22
"ANZTP","Anzalduas, Tamps.",26.133333,-98.3375
"AOABS","General Agustín Olachea Avilés, B.C.S.",23.543056,-110.149444
"AOAZC","Ing. Adolfo Orive de Alba, Zac.",21.491944,-103.116667
"AOBGJ","Álvaro Obregón, Gto.",21.191944,-100.975
"AOBQR","Álvaro Obregón, Q. Roo",18.293333,-88.641667
"AOBREGONINIFAP","Álvaro Obregón, Mich. INIFAP*",19.842222,-101.043611
"AOBSL","Alvaro Obregon, S.L.P.",22.266944,-101.1
"AOBSO","Álvaro Obregón, Son.",27.8225,-109.8925
"AOMGR","Observatorio de Aeropuerto de Acapulco, Gro.",16.763056,-99.749444
"APAJL","Apazulco, Jal.",19.306667,-104.8875
"APAMC","Apatzingán, Mich. SMN*",19.082778,-102.371667
"APAMR","Apancingo, Mor.",18.68,-99.463611
"APAN","Apan, Hgo. INIFAP*",19.687778,-98.426111
"APAPB","Apapantilla, Pue.",20.406944,-97.845
"APATZINGAN","Apatzingán, Mich. SMN*",19.082778,-102.371667
"APATZINGANIF","INIFAP Apatzingán, Mich. INIFAP*",19.011944,-102.23
"APAXTLA","Apaxtla, Gro. INIFAP*",18.141944,-99.935
"APAZC","Apaseo, Zac.",24.259722,-103.033333
"APCGR","El Apache, Gro.",18.437222,-99.350556
"APCHD","Atlapesco, Hgo.",21.016667,-98.333333
"APCNL","Apodaca, N.L.",25.779167,-100.190278
"APITL","Apizaco, Tlax.",19.4,-98.1
"APOZOLCFE","Apozol, Zac. CFE*",21.475556,-103.087778
"APRDR","Ing. Benjamín Ortega Cantero, Dgo.",26.226389,-104.493889
"APSGJ","Apaseo el Alto, Gto.",20.454167,-100.620833
"APTMC","Apatzingán, Mich.",19.083056,-102.371111
"APTSO","Agua Prieta, Son.",31.326944,-109.540833
"AQECP","Aquespala, Chis.",15.783333,-91.911111
"AQLMC","Aquila, Mich.",18.605,-103.500556
"AQMSL","Aquismón, S.L.P.",21.627778,-99.015833
"AQRQR","Andrés Quintana Roo, Q. Roo",19.161944,-88.103611
"AQUESPALA","Aquespala, Chis. SGT*",15.793889,-91.920278
"ARACL","Ramos Arizpe Aeropuerto, Coah.",25.561111,-100.929722
"ARAGON","Conagua Aragón, Cd. de Méx. UNAM*",19.465833,-99.08
"ARAMBERRI","Aramberri, N.L. INIFAP*",24.088889,-99.808889
"ARANDAS","Arandas, Gto. SGT*",20.721389,-101.372778
"ARASI","Agustina Ramírez, Sin.",22.878056,-105.746389
"ARBMX","Las Arboledas, Méx.",19.566667,-99.216667
"ARCEDIANOCFE","Arcediano, Jal. CFE*",20.783056,-103.323333
"ARCELIA","Arecelia, Gro. Protección Civil*",18.327778,-100.285833
"ARCELIAINIFAP","Arcelia, Gro. INIFAP*",18.296389,-100.301389
"ARCGR","Arcelia, Gro.",18.316944,-100.28
"ARCOSS","Arcos, Méx. OCAVM*",19.766389,-99.343333
"ARCSI","Adolfo Ruíz Cortínes, Sin.",25.7,-108.7
"ARCSO","Adolfo Ruíz Cortínes, Son.",27.226111,-109.106667
"ARCVC","Ángel Rosario Cabada, Ver.",18.583333,-95.4375
"AREGR","Arenal, Gro.",18.246111,-99.333611
"AREZC","Arellano, Zac.",21.766944,-102.968611
"ARGELIA","Argelia, Chis. INIFAP*",14.839444,-92.503611
"ARGOVIA","Finca Argovia, Chis. SGT*",15.124722,-92.300278
"ARGOVIAINIFAP","Argovia, Chis. INIFAP*",15.128333,-92.295278
"ARISO","Aribabi, Son.",30.07,-109.088611
"ARIZPE","Arizpe, Son. SMN*",30.335833,-110.1675
"ARLMC","Ing. Antonio Rodríguez Langone, Mich.",20.269722,-102
"ARLSO","Abelardo Rodríguez Luján, Son.",29.076667,-110.92
"ARMCM","Armería, Col.",18.941389,-103.966667
"ARMERIA","Armeria, Col. INIFAP*",18.914444,-103.969167
"ARMMC","Aristeo Mercado, Mich. SGT*",19.925556,-101.669722
"ARMQT","Arenal, Qro. SGT*",20.693333,-100.455833
"ARMZC","Ing. Alfredo Ramírez Mercado, Zac.",21.922222,-102.950278
"ARNNL","Arenal, N.L.",25.813889,-98.975
"AROCP","Observatorio de Arriaga, Chis.",16.241111,-93.8975
"ARQAG","Los Arquitos, Ags.",21.924167,-102.39
"ARQUITOS","Los Arquitos, Gto. INIFAP*",21.151944,-100.326111
"ARRIAGAob","Observatorio de Arriaga, Chis. SMN*",16.241111,-93.8975
"ARRNL","Aramberri, N.L.",24.1,-99.816667
"ARROCERA","Arrocera, Q. Roo. INIFAP*",18.465278,-88.809167
"ARROYO","Arroyo, Méx. INIFAP*",19.409444,-99.736667
"ARROYOBLANCO","Arroyo Blanco, Coah. SGT*",28.89,-100.62
"ARROYODEENMEDIO","Arroyo de Enmedio, Oax. INIFAP*",18.489444,-96.546389
"ARROYOGRANDE","Arroyo Grande, Chis. SGT*",17.188889,-92.874722
"ARROYOHONDO","Arroyo Hondo, Ver. INIFAP*",20.026667,-96.876111
"ArroyoSeco","Arroyo Seco",25.633889,-100.343056
"ARSHD","Al Río el Salto, Hgo.",19.937778,-99.283333
"ARTEAGACFE","Arteaga, Mich. CFE*",18.355,-102.289722
"ARTZC","Artículo 115 Constitucion, Zac.",22.033333,-101.83
"ARZSO","Arizpe, Son.",30.335833,-110.1675
"AS-06","Arroyo Seco, N.L. SAHM*",25.634167,-100.343333
"ASCCH","Ascensión, Chih.",31.213056,-108.012778
"ASCENCION","Ascensión, Chih. INIFAP*",31.096667,-108.036389
"ASCNL","La Ascensión, N.L.",24.321944,-99.911667
"ASLCM","Los Amoles, Col.",19.12,-103.774167
"AsTolucaECA","Aguas y Saneamineto de Toluca, Méx. SMN*",0,0
"ASTOX","Astata, Oax.",16.010833,-95.700556
"ASTVC","Astacinga, Ver.",18.565278,-97.101111
"AT2MX","Atlacomulco, Méx. SGT*",19.788333,-99.893889
"ATAMBORCODEPAP","Arroyo Tambor - CODEPAP, Ver. INIFAP*",18.460278,-96.308056
"ATBGJ","Agua Tibia, Gto.",20.499167,-101.625556
"ATBMR","Atlatlahuacan Bachillerato, Mor.",18.931111,-98.891389
"ATCHD","Atlapexco, Hgo.",21.019444,-98.348056
"ATEJL","Atemajac, Jal.",20.723056,-102.34
"ATEMX","Atenco, Méx.",19.543611,-98.912222
"ATENANGOCFE","Atenango del Río, Gro. CFE*",18.106944,-99.104722
"ATEOX","Atepec, Oax.",17.43,-96.53
"ATEQUIZAYAN","Atequizayan, Jal. INIFAP*",19.714167,-103.538333
"ATESI","El Alhuate, Sin.",24.505556,-107.253889
"ATEZC","Ateto, Zac.",21.478611,-103.066667
"ATGZC","Atolinga, Zac.",21.811389,-103.459167
"ATLACOMULCO","Atlacomulco, Méx. SGT*",19.783333,-99.866667
"ATLAMAJAC","Atlamajac, Méx. OCAVM*",19.748889,-98.931944
"ATLAMAJALCINGO","Atlamajalcingo, Gro. Protección Civil*",17.311667,-98.605
"ATLMR","Atlatlahucan, Mor.",18.935833,-98.901667
"ATLMX","Atlacomulco, Méx. SMN*",19.783333,-99.866667
"ATLTL","Canal principal presa Atlanga, Tlax.",19.55,-98.2
"ATMZC","Atemajac, Zac.",21.333611,-103.1
"ATOMX","Atotonilco 2, Méx.",19.452778,-99.776389
"ATONALISCO","Atonalisco, Nay. INIFAP*",21.652778,-104.826667
"ATOTONILCO","Atotonilco, Tlax. INIFAP*",19.373333,-98.464444
"ATOTONILCOCFE","Atotonilco, Jal. CFE*",20.55,-102.5
"ATOTONILCOHVAQU","Atotonilco H. Vaquerías, Hgo. INIFAP*",20.349444,-98.646667
"ATOYAC","Atoyac, Gro. SMN*",17.209444,-100.44
"ATOYACPC","Atoyac, Gro. Protección Civil*",17.211389,-100.424167
"ATPMX","Atlacomulco Prepa., Méx.",19.783333,-99.866667
"ATQJL","Atequiza, Jal.",20.397222,-103.091944
"ATSJL","SIAPA extracciones Atequiza, Jal.",20.402222,-103.088889
"ATTMX","Atotonilco, Méx.",19.443611,-99.773611
"ATXPB","Atlixco, Pue.",18.921111,-98.420833
"ATYGR","Atoyac, Gro.",17.210278,-100.433333
"ATYJL","Atoyac, Jal.",20.009722,-103.515278
